Gene,Exp,varExp,Meth,varMeth
AMH,2.25364714285714,0.000632670523809523,0.130245266666667,0.00140666529044667
BMP2,2.54238857142857,0.00298561484761906,0.192375833333333,0.000269001117766667
BMP3,2.38752142857143,0.000295249614285713,0.123035533333333,0.000857013284586667
BMP4,2.13904571428571,0.0048584928952381,0.528297,0.0069726818632
BMP5,2.50110857142857,0.00147351938095237,0.514007,0.0000779041788000002
BMP6,2.25225714285714,0.000439219790476191,0.37542,0.001160745742
BMP7,2.60689285714286,0.00437383899047618,0.2022605,0.0000693520483000001
BMP8B,2.35098714285714,0.00059732212380952,0.559275166666667,0.000477861229366666
GDF1,NA,NA,0.5021505,0.0013201081411
GDF2,2.84717714285714,0.00190419035714286,0.825655333333333,0.000738116871466666
MSTN,2.98834142857143,0.0120945511809524,0.870028333333333,0.000916594820266666
GDF9,2.15389857142857,0.00033355218095238,0.6525965,0.0045052651935
GDF10,2.53275571428571,0.00178192076190476,0.589459666666667,0.00143165990186667
INHA,2.58097714285714,0.0000205903238095242,0.666525833333333,0.000433540794166666
INHBA,3.90805714285714,1.17160950402381,0.541161833333333,0.000268962566966666
INHBB,3.1441,0.2052794916,0.266189333333333,0.00115169332146667
INHBC,3.01133571428571,0.0600470167619047,0.673068166666667,0.00274581332536667
NODAL,2.52262,0.0033442695,0.207167,0.000143465722
NRTN,2.23351571428571,0.00046664826190476,0.2818965,0.0008232330555
PSPN,2.42831142857143,0.000748426380952384,0.970976833333333,0.0000632973761666667
TGFB1,2.84221142857143,0.0358998603809524,0.411951,0.0001307229488
TGFB2,2.57439571428571,0.00176917076190477,0.228483666666667,0.000584355219466667
TGFB3,2.38721142857143,0.000223039847619046,0.291263666666667,0.000588803981866667
LEFTY2,2.41542428571429,0.0027350930952381,0.457760833333333,0.00113712910376667
GDF5,2.42160428571429,0.0118252654952381,0.784294166666667,0.000814548767766668
ARTN,2.79130285714286,0.00536339812380953,0.135332616666667,0.00106238587480167
BMP15,2.50279428571429,0.0015831176952381,0.8311955,0.0003897347947
GDF15,4.3597,0.330029587733333,0.105569616666667,0.0000450571073616667
GDF3,2.58471428571429,0.0163988057952381,0.510076666666667,0.00708160029746667
GDF11,2.48165714285714,0.00131705139047619,0.223437166666667,0.000106312146966667
LEFTY1,2.27095714285714,0.00195880755714286,0.460233333333333,0.00160202409746667
BMP10,2.30908571428571,0.000132827361904761,0.8230805,0.0009982774411
INHBE,2.61489714285714,0.00116104072380952,0.1257085,0.0003396598523
GDF7,NA,NA,0.5670335,0.0079789001911
BMP8A,2.47876285714286,0.00185668315714286,0.597451833333333,0.0000708917501666666
GDF6,NA,NA,0.140226833333333,0.0000213706029666666
